DIM_CHECK_IN_GROUP.AUDT_SRC_SYS_CODE TEXT
DIM_CHECK_IN_METHOD.CHECKIN_METHOD_CODE TEXT
DIM_CHECK_IN_METHOD.DESCRIPTION_CHECKIN_METHOD TEXT
DIM_CHECK_IN_METHOD.AUDT_SRC_SYS_CODE TEXT
DIM_CLUB.CLUB_ID TEXT
DIM_CLUB.REGION_ID TEXT
DIM_CLUB.DISTRICT_ID TEXT
DIM_CLUB.CLUB_SRC_NUM TEXT
DIM_CLUB.REGION_SRC_NUM TEXT
DIM_CLUB.DISTRICT_SRC_NUM TEXT
DIM_CLUB.CLUB_STATUS_ID NUMBER
DIM_CLUB.CLUB_STATUS TEXT
DIM_CLUB.CLUB_TYPE TEXT
DIM_CLUB.CLUB_DESC TEXT
DIM_CLUB.AUX_CLUB_DESC TEXT
DIM_CLUB.CLUB_SHORT_DESC TEXT
DIM_CLUB.CLUB_DESIGNATION_DESC TEXT
DIM_CLUB.ORIGINAL_OPEN_DATE TIMESTAMP_NTZ
DIM_CLUB.ORIGINAL_CLOSE_DATE TIMESTAMP_NTZ
DIM_CLUB.FIRST_REVENUE_DATE TIMESTAMP_NTZ
DIM_CLUB.REMODEL_DATE TIMESTAMP_NTZ
DIM_CLUB.COMP_FLAG TEXT
DIM_CLUB.IS_COMP BOOLEAN
DIM_CLUB.WORKOUT_FLAG TEXT
DIM_CLUB.IS_WORKOUT BOOLEAN
DIM_CLUB.WORKOUT_SPACE_SQ_FT NUMBER
DIM_CLUB.EFFECTIVE_DATE TIMESTAMP_NTZ
DIM_CLUB.EFFECTIVE_STATUS TEXT
DIM_CLUB.OTHER_AMENITIES TEXT
DIM_CLUB.DMA TEXT
DIM_CLUB.MARKET TEXT
DIM_CLUB.PRICE_GROUP TEXT
DIM_CLUB.SILVER TEXT
DIM_CLUB.DEPT_STATUS TEXT
DIM_CLUB.CM_NAME TEXT
DIM_CLUB.CLUB_MGR_EMP_SRC_NUM TEXT
DIM_CLUB.DM_NAME TEXT
DIM_CLUB.DISTRICT_MGR_EMP_SRC_NUM TEXT
DIM_CLUB.RVP_NAME TEXT
DIM_CLUB.ADS_RVP_EMP_SRC_NUM TEXT
DIM_CLUB.DP_NAME TEXT
DIM_CLUB.DIVISION_PRES_EMP_SRC_NUM TEXT
DIM_CLUB.AD_NAME TEXT
DIM_CLUB.AREA_DIRECTOR_EMP_SRC_NUM TEXT
DIM_CLUB.DENSITY_CLASS_SRC_NUM NUMBER
DIM_CLUB.DENSITY_CLASS_DESC TEXT
DIM_CLUB.FACEBOOK_URL TEXT
DIM_CLUB.YELP_URL TEXT
DIM_CLUB.IS_NPS_ACTIVE BOOLEAN
DIM_CLUB.NPS_FIRST_RESPONSE_DATE TEXT
DIM_CLUB.NPS_DAYS_FOR_ACTUAL_RESPONSE NUMBER
DIM_CLUB.NPS_DEFAULT_RESPONSE_RATE NUMBER
DIM_CLUB.ADDRESS1 TEXT
DIM_CLUB.ADDRESS2 TEXT
DIM_CLUB.CITY TEXT
DIM_CLUB.COUNTY TEXT
DIM_CLUB.STATE TEXT
DIM_CLUB.COUNTRY TEXT
DIM_CLUB.POSTAL TEXT
DIM_CLUB.AREA_CODE TEXT
DIM_CLUB.PHONE_NUM TEXT
DIM_CLUB.N_FAX_AREA_CODE TEXT
DIM_CLUB.FAX_NUM TEXT
DIM_CLUB.TIMEZONE TEXT
DIM_CLUB.TIMEZONE_CODE TEXT
DIM_CLUB.DST_FLAG TEXT
DIM_CLUB.IS_DST BOOLEAN
DIM_CLUB.LONGITUDE NUMBER
DIM_CLUB.LATITUDE NUMBER
DIM_CLUB.POST_COVID_OPENING_ID TEXT
DIM_CLUB.CREATE_DATE_ID TEXT
DIM_CLUB.DMA_CODE TEXT
DIM_CLUB.WAVE_ID TEXT
DIM_CLUB.OPEN_TYPE_ID TEXT
DIM_CLUB.OPEN_TYPE_NOTE_ID TEXT
DIM_CLUB.WAVE_DESC TEXT
DIM_CLUB.OPEN_TYPE_DESC TEXT
DIM_CLUB.OPEN_TYPE_NOTE_DESC TEXT
DIM_CLUB.INITIAL_MAX_CAPACITY TEXT
DIM_CLUB.MAX_OCCUPANCY TEXT
DIM_CLUB.TRANSFER_CLUB_SRC_ID TEXT
DIM_CLUB.TAP_START_DATE_ID TEXT
DIM_CLUB.WAVE_DATE_ID TEXT
DIM_CLUB.AUDT_CREATE_DATE TIMESTAMP_NTZ
DIM_CLUB.AUDT_UPDATE_DATE TIMESTAMP_NTZ
DIM_CLUB.AUDT_USER_ID TEXT
DIM_CLUB.AUDT_SRC_SYS_CODE TEXT
DIM_CLUB.AUDT_BATCH_ID TEXT
DIM_CLUB_AMENITY.CLUB_AMENITY_ID TEXT
DIM_CLUB_AMENITY.CLUB_ID TEXT
DIM_CLUB_AMENITY.CLUB_SRC_NUM TEXT
DIM_CLUB_AMENITY.EFFECTIVE_DATE TIMESTAMP_NTZ
DIM_CLUB_AMENITY.AMENITY_CODE TEXT
DIM_CLUB_AMENITY.AMENITY_DESC TEXT
DIM_CLUB_AMENITY.AMENITY_SHORT_DESC TEXT
DIM_CLUB_AMENITY.AUDT_CREATE_DATE TIMESTAMP_NTZ
